11
0,1,1900
0,2,2200
0,3,2100
0,4,3300
0,5,3200
0,6,2200
0,7,4500
0,8,4600
0,9,5400
0,10,3500
1,0,1700
1,2,900
1,3,2100
1,4,3500
1,5,2900
1,6,2100
1,7,4400
1,8,4700
1,9,5300
1,10,3900
2,0,550
2,1,1200
2,3,1400
2,4,1600
2,5,2300
2,6,1500
2,7,3600
2,8,4200
2,9,4200
2,10,3600
3,0,1900
3,1,2400
3,2,1500
3,4,1500
3,5,900
3,6,46
3,7,3200
3,8,2900
3,9,4200
3,10,2500
4,0,2700
4,1,3700
4,2,3000
4,3,1800
4,5,1200
4,6,1800
4,7,1800
4,8,2600
4,9,3200
4,10,1400
5,0,4800
5,1,2800
5,2,3300
5,3,1900
5,4,1900
5,6,1900
5,7,1600
5,8,2500
5,9,3400
5,10,3400
6,0,1700
6,1,1000
6,2,750
6,3,46
6,4,1300
6,5,900
6,7,2300
6,8,2500
6,9,3700
6,10,1700
7,0,3300
7,1,3400
7,2,3600
7,3,2400
7,4,1900
7,5,1500
7,6,2300
7,8,450
7,9,1800
7,10,2300
8,0,3500
8,1,3700
8,2,3200
8,3,2600
8,4,2000
8,5,1800
8,6,2700
8,7,450
8,9,1700
8,10,2900
9,0,3400
9,1,4000
9,2,3500
9,3,3400
9,4,2500
9,5,3000
9,6,3600
9,7,1800
9,8,1700
9,10,1900
10,0,2100
10,1,2900
10,2,2200
10,3,2300
10,4,1300
10,5,2200
10,6,2300
10,7,2300
10,8,2300
10,9,1300
